Fecha,Año ISO,Semana ISO,Provincia,Zona,Operación,Total Propiedades
24-02-2026,2026,9,Zaragoza,Área de Zaragoza,alquiler,481
24-02-2026,2026,9,Zaragoza,Tarazona-El Moncayo,alquiler,9
24-02-2026,2026,9,Zaragoza,Ribera Baja del Ebro,alquiler,5
24-02-2026,2026,9,Zaragoza,Ribera Alta del Ebro,alquiler,4
24-02-2026,2026,9,Zaragoza,Monegros,alquiler,1
24-02-2026,2026,9,Zaragoza,La Muela-Valdejalón,alquiler,22
24-02-2026,2026,9,Zaragoza,Hoya de Huesca,alquiler,0
24-02-2026,2026,9,Zaragoza,Comunidad de Calatayud,alquiler,17
24-02-2026,2026,9,Zaragoza,Cinco Villas - Jacetania,alquiler,3
24-02-2026,2026,9,Zaragoza,Caspe,alquiler,1
24-02-2026,2026,9,Zaragoza,Campo de Daroca,alquiler,2
24-02-2026,2026,9,Zaragoza,Campo de Cariñena,alquiler,1
24-02-2026,2026,9,Zaragoza,Campo de Borja,alquiler,9
24-02-2026,2026,9,Zaragoza,Campo de Belchite,alquiler,1
24-02-2026,2026,9,Zaragoza,Mequinenza,alquiler,1
24-02-2026,2026,9,Zaragoza,Aranda,alquiler,5
24-02-2026,2026,9,Zaragoza,*(Toda la provincia)*,alquiler,562
24-02-2026,2026,9,Zamora,Área de Zamora,alquiler,34
24-02-2026,2026,9,Zamora,Área de Sayago,alquiler,2
24-02-2026,2026,9,Zamora,Tierra del Vino - La Guareña,alquiler,0
24-02-2026,2026,9,Zamora,Tierra de Campos,alquiler,0
24-02-2026,2026,9,Zamora,Sanabria,alquiler,15
24-02-2026,2026,9,Zamora,Benavente,alquiler,10
24-02-2026,2026,9,Zamora,Aliste,alquiler,2
24-02-2026,2026,9,Zamora,Alfoz de Toro,alquiler,9
24-02-2026,2026,9,Zamora,*(Toda la provincia)*,alquiler,72
24-02-2026,2026,9,Vizcaya,Uribe-Butroe,alquiler,41
24-02-2026,2026,9,Vizcaya,Lea-Artibai,alquiler,3
24-02-2026,2026,9,Vizcaya,Gran Bilbao,alquiler,582
24-02-2026,2026,9,Vizcaya,Encartaciones,alquiler,6
24-02-2026,2026,9,Vizcaya,Duranguesado,alquiler,2
24-02-2026,2026,9,Vizcaya,Busturialdea,alquiler,17
24-02-2026,2026,9,Vizcaya,Arratia-Nervión,alquiler,3
24-02-2026,2026,9,Vizcaya,*(Toda la provincia)*,alquiler,654
24-02-2026,2026,9,Valencia,Valencia,alquiler,2829
24-02-2026,2026,9,Valencia,Safor,alquiler,608
24-02-2026,2026,9,Valencia,Ribera Baixa,alquiler,246
24-02-2026,2026,9,Valencia,Ribera Alta,alquiler,88
24-02-2026,2026,9,Valencia,Los Serranos,alquiler,12
24-02-2026,2026,9,Valencia,La Vall d'Albaida,alquiler,29
24-02-2026,2026,9,Valencia,La Plana d'Utiel,alquiler,15
24-02-2026,2026,9,Valencia,La Costera,alquiler,24
24-02-2026,2026,9,Valencia,La Canal de Navarrés,alquiler,8
24-02-2026,2026,9,Valencia,L'Horta Sud,alquiler,262
24-02-2026,2026,9,Valencia,L'Horta Nord,alquiler,445
24-02-2026,2026,9,Valencia,Hoya de Buñol,alquiler,54
24-02-2026,2026,9,Valencia,El Valle de Ayora,alquiler,1
24-02-2026,2026,9,Valencia,El Rincón de Ademuz,alquiler,2
24-02-2026,2026,9,Valencia,El Camp de Tùria,alquiler,190
24-02-2026,2026,9,Valencia,Camp de Morvedre,alquiler,336
24-02-2026,2026,9,Valencia,*(Toda la provincia)*,alquiler,5150
24-02-2026,2026,9,Valladolid,Área Metropolitana Valladolid,alquiler,295
24-02-2026,2026,9,Valladolid,Tordesillas,alquiler,9
24-02-2026,2026,9,Valladolid,Tierra de Pinares,alquiler,4
24-02-2026,2026,9,Valladolid,Tierra de Medina,alquiler,7
24-02-2026,2026,9,Valladolid,Tierra de Campos,alquiler,4
24-02-2026,2026,9,Valladolid,*(Toda la provincia)*,alquiler,319
24-02-2026,2026,9,Toledo,Área de Torrijos,alquiler,51
24-02-2026,2026,9,Toledo,Toledo,alquiler,141
24-02-2026,2026,9,Toledo,Talavera de la Reina,alquiler,82
24-02-2026,2026,9,Toledo,Sierra de San Vicente,alquiler,12
24-02-2026,2026,9,Toledo,Los Montes de Toledo,alquiler,18
24-02-2026,2026,9,Toledo,La Sagra,alquiler,89
24-02-2026,2026,9,Toledo,La Mesa de Ocaña,alquiler,24
24-02-2026,2026,9,Toledo,La Mancha,alquiler,20
24-02-2026,2026,9,Toledo,La Jara,alquiler,3
24-02-2026,2026,9,Toledo,La Campana de Oropesa,alquiler,10
24-02-2026,2026,9,Toledo,*(Toda la provincia)*,alquiler,450
24-02-2026,2026,9,Teruel,Área de Teruel,alquiler,14
24-02-2026,2026,9,Teruel,Matarraña,alquiler,5
24-02-2026,2026,9,Teruel,Maestrazgo,alquiler,0
24-02-2026,2026,9,Teruel,Jiloca,alquiler,5
24-02-2026,2026,9,Teruel,Gúdar- Javalambre,alquiler,34
24-02-2026,2026,9,Teruel,Cuencas Mineras- Andorra-Bajo Martín,alquiler,28
24-02-2026,2026,9,Teruel,Bajo Aragón,alquiler,14
24-02-2026,2026,9,Teruel,Albarracín,alquiler,3
24-02-2026,2026,9,Teruel,*(Toda la provincia)*,alquiler,103
24-02-2026,2026,9,Tarragona,Terra Alta,alquiler,2
24-02-2026,2026,9,Tarragona,Tarragonès,alquiler,219
24-02-2026,2026,9,Tarragona,Ribera d'Ebre,alquiler,1
24-02-2026,2026,9,Tarragona,Priorat,alquiler,1
24-02-2026,2026,9,Tarragona,Montsià,alquiler,37
24-02-2026,2026,9,Tarragona,Conca de Barberà,alquiler,6
24-02-2026,2026,9,Tarragona,Baix Penedès,alquiler,66
24-02-2026,2026,9,Tarragona,Baix Ebre,alquiler,56
24-02-2026,2026,9,Tarragona,Baix Camp,alquiler,137
24-02-2026,2026,9,Tarragona,Alt Camp,alquiler,6
24-02-2026,2026,9,Tarragona,*(Toda la provincia)*,alquiler,531
24-02-2026,2026,9,Soria,Área de Soria,alquiler,44
24-02-2026,2026,9,Soria,Pinares y Tierras Altas,alquiler,7
24-02-2026,2026,9,Soria,Burgo de Osma,alquiler,6
24-02-2026,2026,9,Soria,Almazán,alquiler,13
24-02-2026,2026,9,Soria,*(Toda la provincia)*,alquiler,70
24-02-2026,2026,9,Sevilla,Área de Estepa,alquiler,7
24-02-2026,2026,9,Sevilla,Área Metropolitana,alquiler,194
24-02-2026,2026,9,Sevilla,Sierra norte,alquiler,41
24-02-2026,2026,9,Sevilla,Sevilla,alquiler,1362
24-02-2026,2026,9,Sevilla,La Vega,alquiler,27
24-02-2026,2026,9,Sevilla,La Marisma,alquiler,4
24-02-2026,2026,9,Sevilla,La Campiña,alquiler,89
24-02-2026,2026,9,Sevilla,Aljarafe,alquiler,224
24-02-2026,2026,9,Sevilla,*(Toda la provincia)*,alquiler,1948
24-02-2026,2026,9,Segovia,Área de Sepúlveda - Cantalejo,alquiler,18
24-02-2026,2026,9,Segovia,Área de Segovia,alquiler,338
24-02-2026,2026,9,Segovia,Área de Santa María Real de Nieva,alquiler,8
24-02-2026,2026,9,Segovia,Área de Riaza,alquiler,5
24-02-2026,2026,9,Segovia,Área de Cuéllar,alquiler,3
24-02-2026,2026,9,Segovia,*(Toda la provincia)*,alquiler,372
24-02-2026,2026,9,Santa Cruz de Tenerife,Tenerife,alquiler,1407
24-02-2026,2026,9,Santa Cruz de Tenerife,La Palma,alquiler,25
24-02-2026,2026,9,Santa Cruz de Tenerife,La Gomera,alquiler,7
24-02-2026,2026,9,Santa Cruz de Tenerife,El Hierro,alquiler,4
24-02-2026,2026,9,Santa Cruz de Tenerife,*(Toda la provincia)*,alquiler,1443
24-02-2026,2026,9,Salamanca,Área Metropolitana,alquiler,1096
24-02-2026,2026,9,Salamanca,Vitigudino,alquiler,7
24-02-2026,2026,9,Salamanca,Peñaranda,alquiler,4
24-02-2026,2026,9,Salamanca,Ciudad Rodrigo,alquiler,24
24-02-2026,2026,9,Salamanca,Campo Charro,alquiler,3
24-02-2026,2026,9,Salamanca,Béjar,alquiler,25
24-02-2026,2026,9,Salamanca,*(Toda la provincia)*,alquiler,1159
24-02-2026,2026,9,Pontevedra,Área de Vigo,alquiler,502
24-02-2026,2026,9,Pontevedra,Área de Terra Montes,alquiler,2
24-02-2026,2026,9,Pontevedra,Área de Pontevedra,alquiler,145
24-02-2026,2026,9,Pontevedra,Área de Deza,alquiler,16
24-02-2026,2026,9,Pontevedra,Área de Caldas,alquiler,6
24-02-2026,2026,9,Pontevedra,Salnés,alquiler,231
24-02-2026,2026,9,Pontevedra,Morrazo,alquiler,54
24-02-2026,2026,9,Pontevedra,Condado - Paradanta,alquiler,32
24-02-2026,2026,9,Pontevedra,Baixo Miño,alquiler,38
24-02-2026,2026,9,Pontevedra,*(Toda la provincia)*,alquiler,1026
24-02-2026,2026,9,Palencia,Tierra de Campos - Cerrato,alquiler,60
24-02-2026,2026,9,Palencia,Montaña Palentina,alquiler,7
24-02-2026,2026,9,Palencia,Camino de Santiago,alquiler,14
24-02-2026,2026,9,Palencia,*(Toda la provincia)*,alquiler,81
24-02-2026,2026,9,Ourense,Área de Ourense,alquiler,205
24-02-2026,2026,9,Ourense,Viana- Verín,alquiler,6
24-02-2026,2026,9,Ourense,Valdeorras,alquiler,4
24-02-2026,2026,9,Ourense,Terra de Celanova,alquiler,4
24-02-2026,2026,9,Ourense,Terra de Caldelas- Trive,alquiler,2
24-02-2026,2026,9,Ourense,Ribeiro,alquiler,2
24-02-2026,2026,9,Ourense,Limia,alquiler,3
24-02-2026,2026,9,Ourense,Carballiño,alquiler,6
24-02-2026,2026,9,Ourense,Allariz- Maceda,alquiler,11
24-02-2026,2026,9,Ourense,*(Toda la provincia)*,alquiler,243
24-02-2026,2026,9,Navarra,Área de Tudela,alquiler,26
24-02-2026,2026,9,Navarra,Área de Tafalla,alquiler,5
24-02-2026,2026,9,Navarra,Área de Sangüesa,alquiler,1
24-02-2026,2026,9,Navarra,Área de Puente la Reina,alquiler,3
24-02-2026,2026,9,Navarra,Área de Peralta,alquiler,1
24-02-2026,2026,9,Navarra,Área de Pamplona,alquiler,204
24-02-2026,2026,9,Navarra,Área de Esteribar,alquiler,0
24-02-2026,2026,9,Navarra,Área de Estella y Urbasa,alquiler,6
24-02-2026,2026,9,Navarra,Olite,alquiler,1
24-02-2026,2026,9,Navarra,Norte,alquiler,8
24-02-2026,2026,9,Navarra,*(Toda la provincia)*,alquiler,255
