Fecha,Año ISO,Semana ISO,Provincia,Zona,Operación,Total Propiedades
24-02-2026,2026,9,Zaragoza,Área de Zaragoza,venta,2507
24-02-2026,2026,9,Zaragoza,Tarazona-El Moncayo,venta,185
24-02-2026,2026,9,Zaragoza,Ribera Baja del Ebro,venta,75
24-02-2026,2026,9,Zaragoza,Ribera Alta del Ebro,venta,188
24-02-2026,2026,9,Zaragoza,Monegros,venta,11
24-02-2026,2026,9,Zaragoza,La Muela-Valdejalón,venta,258
24-02-2026,2026,9,Zaragoza,Hoya de Huesca,venta,12
24-02-2026,2026,9,Zaragoza,Comunidad de Calatayud,venta,446
24-02-2026,2026,9,Zaragoza,Cinco Villas - Jacetania,venta,166
24-02-2026,2026,9,Zaragoza,Caspe,venta,124
24-02-2026,2026,9,Zaragoza,Campo de Daroca,venta,61
24-02-2026,2026,9,Zaragoza,Campo de Cariñena,venta,107
24-02-2026,2026,9,Zaragoza,Campo de Borja,venta,154
24-02-2026,2026,9,Zaragoza,Campo de Belchite,venta,54
24-02-2026,2026,9,Zaragoza,Mequinenza,venta,6
24-02-2026,2026,9,Zaragoza,Aranda,venta,112
24-02-2026,2026,9,Zaragoza,*(Toda la provincia)*,venta,4465
24-02-2026,2026,9,Zamora,Área de Zamora,venta,515
24-02-2026,2026,9,Zamora,Área de Sayago,venta,118
24-02-2026,2026,9,Zamora,Tierra del Vino - La Guareña,venta,93
24-02-2026,2026,9,Zamora,Tierra de Campos,venta,75
24-02-2026,2026,9,Zamora,Sanabria,venta,112
24-02-2026,2026,9,Zamora,Benavente,venta,268
24-02-2026,2026,9,Zamora,Aliste,venta,54
24-02-2026,2026,9,Zamora,Alfoz de Toro,venta,91
24-02-2026,2026,9,Zamora,*(Toda la provincia)*,venta,1326
24-02-2026,2026,9,Vizcaya,Uribe-Butroe,venta,332
24-02-2026,2026,9,Vizcaya,Lea-Artibai,venta,85
24-02-2026,2026,9,Vizcaya,Gran Bilbao,venta,2966
24-02-2026,2026,9,Vizcaya,Encartaciones,venta,170
24-02-2026,2026,9,Vizcaya,Duranguesado,venta,271
24-02-2026,2026,9,Vizcaya,Busturialdea,venta,230
24-02-2026,2026,9,Vizcaya,Arratia-Nervión,venta,150
24-02-2026,2026,9,Vizcaya,*(Toda la provincia)*,venta,4204
24-02-2026,2026,9,Valencia,Valencia,venta,4727
24-02-2026,2026,9,Valencia,Safor,venta,3235
24-02-2026,2026,9,Valencia,Ribera Baixa,venta,1337
24-02-2026,2026,9,Valencia,Ribera Alta,venta,2100
24-02-2026,2026,9,Valencia,Los Serranos,venta,251
24-02-2026,2026,9,Valencia,La Vall d'Albaida,venta,894
24-02-2026,2026,9,Valencia,La Plana d'Utiel,venta,269
24-02-2026,2026,9,Valencia,La Costera,venta,640
24-02-2026,2026,9,Valencia,La Canal de Navarrés,venta,146
24-02-2026,2026,9,Valencia,L'Horta Sud,venta,2187
24-02-2026,2026,9,Valencia,L'Horta Nord,venta,2017
24-02-2026,2026,9,Valencia,Hoya de Buñol,venta,566
24-02-2026,2026,9,Valencia,El Valle de Ayora,venta,139
24-02-2026,2026,9,Valencia,El Rincón de Ademuz,venta,39
24-02-2026,2026,9,Valencia,El Camp de Tùria,venta,1750
24-02-2026,2026,9,Valencia,Camp de Morvedre,venta,1318
24-02-2026,2026,9,Valencia,*(Toda la provincia)*,venta,21617
24-02-2026,2026,9,Valladolid,Área Metropolitana Valladolid,venta,1818
24-02-2026,2026,9,Valladolid,Tordesillas,venta,134
24-02-2026,2026,9,Valladolid,Tierra de Pinares,venta,284
24-02-2026,2026,9,Valladolid,Tierra de Medina,venta,371
24-02-2026,2026,9,Valladolid,Tierra de Campos,venta,129
24-02-2026,2026,9,Valladolid,*(Toda la provincia)*,venta,2735
24-02-2026,2026,9,Toledo,Área de Torrijos,venta,1197
24-02-2026,2026,9,Toledo,Toledo,venta,330
24-02-2026,2026,9,Toledo,Talavera de la Reina,venta,482
24-02-2026,2026,9,Toledo,Sierra de San Vicente,venta,174
24-02-2026,2026,9,Toledo,Los Montes de Toledo,venta,517
24-02-2026,2026,9,Toledo,La Sagra,venta,1593
24-02-2026,2026,9,Toledo,La Mesa de Ocaña,venta,351
24-02-2026,2026,9,Toledo,La Mancha,venta,595
24-02-2026,2026,9,Toledo,La Jara,venta,239
24-02-2026,2026,9,Toledo,La Campana de Oropesa,venta,234
24-02-2026,2026,9,Toledo,*(Toda la provincia)*,venta,5712
24-02-2026,2026,9,Teruel,Área de Teruel,venta,224
24-02-2026,2026,9,Teruel,Matarraña,venta,275
24-02-2026,2026,9,Teruel,Maestrazgo,venta,62
24-02-2026,2026,9,Teruel,Jiloca,venta,87
24-02-2026,2026,9,Teruel,Gúdar- Javalambre,venta,240
24-02-2026,2026,9,Teruel,Cuencas Mineras- Andorra-Bajo Martín,venta,195
24-02-2026,2026,9,Teruel,Bajo Aragón,venta,173
24-02-2026,2026,9,Teruel,Albarracín,venta,71
24-02-2026,2026,9,Teruel,*(Toda la provincia)*,venta,1327
24-02-2026,2026,9,Tarragona,Terra Alta,venta,126
24-02-2026,2026,9,Tarragona,Tarragonès,venta,3395
24-02-2026,2026,9,Tarragona,Ribera d'Ebre,venta,352
24-02-2026,2026,9,Tarragona,Priorat,venta,149
24-02-2026,2026,9,Tarragona,Montsià,venta,1312
24-02-2026,2026,9,Tarragona,Conca de Barberà,venta,238
24-02-2026,2026,9,Tarragona,Baix Penedès,venta,2672
24-02-2026,2026,9,Tarragona,Baix Ebre,venta,1686
24-02-2026,2026,9,Tarragona,Baix Camp,venta,2685
24-02-2026,2026,9,Tarragona,Alt Camp,venta,513
24-02-2026,2026,9,Tarragona,*(Toda la provincia)*,venta,13129
24-02-2026,2026,9,Soria,Área de Soria,venta,231
24-02-2026,2026,9,Soria,Pinares y Tierras Altas,venta,152
24-02-2026,2026,9,Soria,Burgo de Osma,venta,153
24-02-2026,2026,9,Soria,Almazán,venta,174
24-02-2026,2026,9,Soria,*(Toda la provincia)*,venta,710
24-02-2026,2026,9,Sevilla,Área de Estepa,venta,149
24-02-2026,2026,9,Sevilla,Área Metropolitana,venta,1687
24-02-2026,2026,9,Sevilla,Sierra norte,venta,583
24-02-2026,2026,9,Sevilla,Sevilla,venta,3281
24-02-2026,2026,9,Sevilla,La Vega,venta,635
24-02-2026,2026,9,Sevilla,La Marisma,venta,86
24-02-2026,2026,9,Sevilla,La Campiña,venta,1247
24-02-2026,2026,9,Sevilla,Aljarafe,venta,2220
24-02-2026,2026,9,Sevilla,*(Toda la provincia)*,venta,9887
24-02-2026,2026,9,Segovia,Área de Sepúlveda - Cantalejo,venta,302
24-02-2026,2026,9,Segovia,Área de Segovia,venta,820
24-02-2026,2026,9,Segovia,Área de Santa María Real de Nieva,venta,112
24-02-2026,2026,9,Segovia,Área de Riaza,venta,111
24-02-2026,2026,9,Segovia,Área de Cuéllar,venta,138
24-02-2026,2026,9,Segovia,*(Toda la provincia)*,venta,1483
24-02-2026,2026,9,Santa Cruz de Tenerife,Tenerife,venta,9352
24-02-2026,2026,9,Santa Cruz de Tenerife,La Palma,venta,463
24-02-2026,2026,9,Santa Cruz de Tenerife,La Gomera,venta,98
24-02-2026,2026,9,Santa Cruz de Tenerife,El Hierro,venta,62
24-02-2026,2026,9,Santa Cruz de Tenerife,*(Toda la provincia)*,venta,9976
24-02-2026,2026,9,Salamanca,Área Metropolitana,venta,1905
24-02-2026,2026,9,Salamanca,Vitigudino,venta,277
24-02-2026,2026,9,Salamanca,Peñaranda,venta,315
24-02-2026,2026,9,Salamanca,Ciudad Rodrigo,venta,549
24-02-2026,2026,9,Salamanca,Campo Charro,venta,95
24-02-2026,2026,9,Salamanca,Béjar,venta,461
24-02-2026,2026,9,Salamanca,*(Toda la provincia)*,venta,3602
24-02-2026,2026,9,Pontevedra,Área de Vigo,venta,2357
24-02-2026,2026,9,Pontevedra,Área de Terra Montes,venta,156
24-02-2026,2026,9,Pontevedra,Área de Pontevedra,venta,933
24-02-2026,2026,9,Pontevedra,Área de Deza,venta,275
24-02-2026,2026,9,Pontevedra,Área de Caldas,venta,125
24-02-2026,2026,9,Pontevedra,Salnés,venta,1074
24-02-2026,2026,9,Pontevedra,Morrazo,venta,543
24-02-2026,2026,9,Pontevedra,Condado - Paradanta,venta,590
24-02-2026,2026,9,Pontevedra,Baixo Miño,venta,498
24-02-2026,2026,9,Pontevedra,*(Toda la provincia)*,venta,6551
24-02-2026,2026,9,Palencia,Tierra de Campos - Cerrato,venta,967
24-02-2026,2026,9,Palencia,Montaña Palentina,venta,332
24-02-2026,2026,9,Palencia,Camino de Santiago,venta,293
24-02-2026,2026,9,Palencia,*(Toda la provincia)*,venta,1592
24-02-2026,2026,9,Ourense,Área de Ourense,venta,2010
24-02-2026,2026,9,Ourense,Viana- Verín,venta,209
24-02-2026,2026,9,Ourense,Valdeorras,venta,230
24-02-2026,2026,9,Ourense,Terra de Celanova,venta,281
24-02-2026,2026,9,Ourense,Terra de Caldelas- Trive,venta,160
24-02-2026,2026,9,Ourense,Ribeiro,venta,339
24-02-2026,2026,9,Ourense,Limia,venta,333
24-02-2026,2026,9,Ourense,Carballiño,venta,363
24-02-2026,2026,9,Ourense,Allariz- Maceda,venta,315
24-02-2026,2026,9,Ourense,*(Toda la provincia)*,venta,4240
24-02-2026,2026,9,Navarra,Área de Tudela,venta,352
24-02-2026,2026,9,Navarra,Área de Tafalla,venta,115
24-02-2026,2026,9,Navarra,Área de Sangüesa,venta,113
24-02-2026,2026,9,Navarra,Área de Puente la Reina,venta,40
24-02-2026,2026,9,Navarra,Área de Peralta,venta,54
24-02-2026,2026,9,Navarra,Área de Pamplona,venta,760
24-02-2026,2026,9,Navarra,Área de Esteribar,venta,27
24-02-2026,2026,9,Navarra,Área de Estella y Urbasa,venta,511
24-02-2026,2026,9,Navarra,Olite,venta,83
24-02-2026,2026,9,Navarra,Norte,venta,239
24-02-2026,2026,9,Navarra,*(Toda la provincia)*,venta,2294
24-02-2026,2026,9,Murcia,Área de Murcia,venta,3923
24-02-2026,2026,9,Murcia,Vega Media,venta,1056
24-02-2026,2026,9,Murcia,Vega Alta,venta,346
24-02-2026,2026,9,Murcia,Valle de Ricote,venta,250
24-02-2026,2026,9,Murcia,Río Mula,venta,199
24-02-2026,2026,9,Murcia,Noroeste,venta,657
24-02-2026,2026,9,Murcia,Mar Menor,venta,2815
24-02-2026,2026,9,Murcia,La Manga del Mar Menor,venta,709
24-02-2026,2026,9,Murcia,Campo de Cartagena,venta,2648
24-02-2026,2026,9,Murcia,Bajo Guadalentín,venta,1164
24-02-2026,2026,9,Murcia,Alto Guadalentín,venta,1573
24-02-2026,2026,9,Murcia,Altiplano-Oriental,venta,749
24-02-2026,2026,9,Murcia,*(Toda la provincia)*,venta,16089
24-02-2026,2026,9,Melilla,San Lorenzo,venta,17
24-02-2026,2026,9,Melilla,La Victoria,venta,4
24-02-2026,2026,9,Melilla,Isaac Peral,venta,10
24-02-2026,2026,9,Melilla,Hipódromo,venta,8
24-02-2026,2026,9,Melilla,El Real,venta,36
24-02-2026,2026,9,Melilla,El Industrial,venta,19
24-02-2026,2026,9,Melilla,Constitución,venta,9
24-02-2026,2026,9,Melilla,Centro,venta,53
24-02-2026,2026,9,Melilla,Calvo Sotelo,venta,13
24-02-2026,2026,9,Melilla,Barriadas norte,venta,21
24-02-2026,2026,9,Melilla,Alfonso XIII,venta,13
24-02-2026,2026,9,Melilla,*(Toda la provincia)*,venta,203
24-02-2026,2026,9,Málaga,Área de Antequera,venta,947
24-02-2026,2026,9,Málaga,Valle de Guadalhorce,venta,2008
24-02-2026,2026,9,Málaga,Serranía de Ronda,venta,776
24-02-2026,2026,9,Málaga,Costa del Sol Oriental - Axarquía,venta,4977
24-02-2026,2026,9,Málaga,Costa del Sol Occidental-Área de Marbella,venta,10389
24-02-2026,2026,9,Málaga,Costa del Sol Occidental-Área de Benalmádena-Costa,venta,9563
24-02-2026,2026,9,Málaga,Costa del Sol Occidental - Área de Estepona,venta,6698
24-02-2026,2026,9,Málaga,Málaga,venta,4667
24-02-2026,2026,9,Málaga,*(Toda la provincia)*,venta,40025
24-02-2026,2026,9,Madrid,Zona suroeste,venta,829
24-02-2026,2026,9,Madrid,Zona sureste,venta,1203
24-02-2026,2026,9,Madrid,Zona sur,venta,2944
24-02-2026,2026,9,Madrid,Zona norte,venta,2152
24-02-2026,2026,9,Madrid,Zona noroeste,venta,3133
24-02-2026,2026,9,Madrid,Madrid,venta,15065
24-02-2026,2026,9,Madrid,Corredor del Henares,venta,1459
24-02-2026,2026,9,Madrid,*(Toda la provincia)*,venta,26785
24-02-2026,2026,9,Lugo,Área de Lugo,venta,1006
24-02-2026,2026,9,Lugo,Ulloa,venta,128
24-02-2026,2026,9,Lugo,Terra Chá,venta,381
24-02-2026,2026,9,Lugo,Sarria,venta,158
24-02-2026,2026,9,Lugo,Quiroga,venta,80
24-02-2026,2026,9,Lugo,Meira,venta,43
24-02-2026,2026,9,Lugo,Lemos,venta,307
24-02-2026,2026,9,Lugo,Chantada,venta,122
24-02-2026,2026,9,Lugo,Ancares,venta,87
24-02-2026,2026,9,Lugo,A Mariña,venta,928
24-02-2026,2026,9,Lugo,A Fonsagrada,venta,58
24-02-2026,2026,9,Lugo,*(Toda la provincia)*,venta,3299
24-02-2026,2026,9,Lleida,Val d'Aran,venta,379
24-02-2026,2026,9,Lleida,Urgell,venta,227
24-02-2026,2026,9,Lleida,Solsonès,venta,44
24-02-2026,2026,9,Lleida,Segrià,venta,1360
24-02-2026,2026,9,Lleida,Segarra,venta,168
24-02-2026,2026,9,Lleida,Pla d'Urgell,venta,155
24-02-2026,2026,9,Lleida,Pallars Sobirà,venta,107
24-02-2026,2026,9,Lleida,Pallars Jussà,venta,182
24-02-2026,2026,9,Lleida,Noguera,venta,320
24-02-2026,2026,9,Lleida,Garrigues,venta,166
24-02-2026,2026,9,Lleida,Cerdanya,venta,71
24-02-2026,2026,9,Lleida,Alta Ribagorça,venta,45
24-02-2026,2026,9,Lleida,Alt Urgell,venta,264
24-02-2026,2026,9,Lleida,*(Toda la provincia)*,venta,3488
24-02-2026,2026,9,León,Tierras de León,venta,1711
24-02-2026,2026,9,León,Tierra de Campos,venta,194
24-02-2026,2026,9,León,Maragatería- Cabrera,venta,232
24-02-2026,2026,9,León,Las Montañas,venta,459
24-02-2026,2026,9,León,El Páramo,venta,669
24-02-2026,2026,9,León,Bierzo- Ancares,venta,1309
24-02-2026,2026,9,León,Babia- Laciana- Omaña,venta,169
24-02-2026,2026,9,León,*(Toda la provincia)*,venta,4743
24-02-2026,2026,9,Las Palmas,Lanzarote,venta,1054
